probIn scale
0.5662614 0.0005166655
0.5611948 0.0005160377
0.5715559 0.0005146967
0.5636747 0.0005127766
0.5621466 0.0005179756
0.5699869 0.0005158299
0.573694 0.0005177004
0.5666521 0.0005239015
0.5629281 0.0005104408
0.5620057 0.0005098148
0.5625783 0.0005047502
0.5717199 0.0005091361
0.5651064 0.0004997744
0.5759964 0.0004950176
0.5735887 0.0004942065
0.5678398 0.0004948254
0.5647704 0.0004965827
0.5687065 0.0004930214
0.5888276 0.0004922759
0.5840717 0.0004791366
0.590688 0.000479859
0.5908474 0.0004809687
0.5876692 0.0004836053
0.5868827 0.0004872485
0.580122 0.0004962636
0.5871349 0.0004928314
0.5893746 0.0004943276
0.5861295 0.0004898207
0.5851049 0.0004877723
0.5989437 0.0004823507
0.5968627 0.0004868899
0.593949 0.0004837822
0.5917919 0.0004908684
0.5799822 0.0004868387
0.5777548 0.0004951221
0.5804685 0.0005017093
0.5777702 0.000502541
0.5689584 0.0005033287
0.5725664 0.0005041267
0.5740889 0.0005085392
0.585771 0.0005020887
0.5884135 0.000504149
0.5816663 0.0005037054
0.5846451 0.0005008852
0.5855952 0.0004971219
0.5862417 0.0005033007
0.5803211 0.0004972438
0.6002832 0.0004993491
0.606708 0.0004977984
0.5998385 0.0004965805
0.5998199 0.0004958279
0.5973178 0.0004960373
0.5882893 0.0004984108
0.5924669 0.0004856816
0.606267 0.0004928733
0.594434 0.0004943659
0.6029243 0.0004947977
0.6030961 0.0004938639
0.6178507 0.0004897207
0.6112388 0.0004896876
0.6156042 0.0004817345
0.6155013 0.0004914978
0.6139307 0.0004949307
0.6118257 0.0004895049
0.6075659 0.0004862172
0.5979964 0.0004801657
0.6139033 0.0004674504
0.6174341 0.0004660457
0.6127081 0.0004707393
0.611342 0.0004644461
0.6074248 0.0004733553
0.6067298 0.0004711177
0.6037259 0.0004676955
0.6075569 0.0004627118
0.6018363 0.000468753
0.6110107 0.0004690754
0.6111067 0.0004697735
0.5948029 0.0004661717
0.5921106 0.0004702203
0.5984555 0.0004723261
0.5828487 0.0004664611
0.5844792 0.0004648742
0.5772451 0.0004675943
0.5922486 0.0004814489
0.6084356 0.000476576
0.6155334 0.0004829
0.6230534 0.0004861243
0.6238872 0.0004899911
0.6057463 0.0004898695
0.6088534 0.0004990929
0.6193749 0.0005023447
0.5984541 0.0004950417
0.6089149 0.0004932243
0.6134514 0.0005031863
0.6069539 0.0005090183
0.6137011 0.0005081233
0.601496 0.0005049407
0.5944884 0.0005089235
0.5973105 0.0005027408
0.59831 0.0005013642
0.6091984 0.0005091344
0.59795 0.0005030071
0.5817682 0.0005073536
0.5825218 0.0005207763
0.57124 0.0005107336
0.5772284 0.0005084224
0.5785672 0.0005084613
0.5802227 0.0005132256
0.5789555 0.0005049959
0.5811479 0.0005103574
0.5821106 0.0005155104
0.5874339 0.000521394
0.5688832 0.0005309703
0.5642044 0.0005288568
0.5690645 0.0005364007
0.569977 0.0005381067
0.5721691 0.0005317504
0.5741204 0.0005322328
0.5629467 0.0005364601
0.5648557 0.0005399405
0.5672148 0.0005365238
0.5762361 0.000539057
0.58398 0.0005364206
0.5928302 0.000528073
0.5898157 0.000535819
0.5767523 0.0005307717
0.5734969 0.0005255158
0.5725474 0.000513379
0.579098 0.00050974
0.5955606 0.0005033272
0.5804904 0.0005009685
0.5746479 0.0005054643
0.5724097 0.0004956675
0.5730847 0.0004990385
0.5719706 0.0004960097
0.5739268 0.0004962735
0.5878016 0.0005103537
0.5901252 0.0005022209
0.5856587 0.0005084154
0.5856801 0.0005054045
0.5901107 0.0005084446
0.5726839 0.0005020787
0.5724194 0.0005030976
0.5706536 0.000500042
0.5749234 0.0005024962
0.5772995 0.0004996898
0.5765406 0.0005002775
0.5779714 0.000504197
0.587761 0.0005062006
0.5804728 0.0005083116
0.580011 0.0005068251
0.5845051 0.0005213333
0.5724058 0.0005101089
0.5767116 0.0005117001
0.5750618 0.0005211757
0.5704566 0.0005191306
0.5754692 0.0005181153
0.569488 0.0005191733
0.5627381 0.0005231478
0.5744368 0.0005307431
0.5552296 0.000529659
0.5492443 0.0005315603
0.5527765 0.0005250036
0.5576249 0.0005302133
0.5613857 0.0005247865
0.5639989 0.0005186672
0.5619204 0.0005175912
0.5606503 0.0005238399
0.5638972 0.0005184147
0.5500274 0.0005298238
0.550083 0.0005197006
0.5376233 0.0005174534
0.5329142 0.0005128546
0.5273342 0.0005202835
0.5374918 0.0005240248
0.5262402 0.000530459
0.5379684 0.0005320807
0.5257431 0.0005263898
0.5176716 0.000532302
0.5191011 0.000526929
0.5154883 0.0005318399
0.5234979 0.0005302296
0.5302906 0.000527256
0.5297826 0.0005327766
0.5395161 0.0005298202
0.5349061 0.0005386349
0.5330179 0.000529103
0.5335397 0.0005345081
0.5307737 0.0005368473
0.5360751 0.0005321612
0.5436829 0.0005359158
0.5539758 0.0005314445
0.5537438 0.0005225965
0.5383528 0.0005353353
0.5557495 0.000532765
0.5443404 0.0005225349
0.5344316 0.0005269835
0.5406025 0.0005274725
0.5470539 0.0005383343
0.5577729 0.0005226905
0.5575693 0.0005200837
0.5581542 0.0005053242
0.5572514 0.0004965246
