probIn varB
0.3286793 0.0003335585
0.3381839 0.000331215
0.3401188 0.0003264981
0.338261 0.0003277615
0.3292207 0.0003206421
0.328816 0.0003190274
0.3291413 0.0003231488
0.3248956 0.0003289211
0.3254997 0.0003201977
0.3386404 0.0003179091
0.339258 0.0003171271
0.3293596 0.0003153673
0.3346988 0.0003177322
0.3172845 0.0003176477
0.3299795 0.0003185786
0.3204065 0.0003193924
0.3280839 0.0003257676
0.3307783 0.000329869
0.3261752 0.0003246603
0.3307314 0.0003236086
0.3389805 0.0003267775
0.34453 0.0003145935
0.3500163 0.0003166781
0.3482517 0.0002994431
0.3552233 0.0003062172
0.3478939 0.0003066725
0.3537912 0.0003175749
0.3485487 0.0003109962
0.3505145 0.0003036978
0.3479545 0.0003132718
0.348769 0.0003141173
0.3484381 0.0003057512
0.3487754 0.0002984308
0.3502026 0.0003057454
0.3557554 0.0003113237
0.3539835 0.0003195639
0.3467974 0.0003150617
0.3448111 0.0003191547
0.3415778 0.0003212234
0.3387211 0.0003210532
0.3431961 0.0003166091
0.3398323 0.000317991
0.3339694 0.0003376525
0.3235194 0.0003291432
0.3303687 0.0003347658
0.3383616 0.0003195915
0.3468697 0.0003275552
0.3383521 0.0003346946
0.3366751 0.0003357527
0.3389979 0.0003257671
0.3332058 0.000323138
0.3399438 0.0003276047
0.3368932 0.0003241074
0.338366 0.0003286214
0.3358462 0.0003210775
0.3435087 0.0003119813
0.3397113 0.0003135556
0.3321426 0.0003172273
0.3371692 0.0003287331
0.3223515 0.0003192876
0.3265876 0.0003097495
0.3286749 0.0003196704
0.3199035 0.0003266897
0.3236988 0.0003341497
0.3190066 0.0003324164
0.3101826 0.0003443783
0.3160539 0.0003434693
0.3190334 0.0003347988
0.3152144 0.0003338768
0.3282675 0.0003379819
0.3180541 0.0003306783
0.3259705 0.0003307136
0.3326823 0.000334472
0.3282852 0.0003297475
0.3250057 0.0003253085
0.3165644 0.0003295236
0.3133358 0.0003194456
0.3173699 0.0003089287
0.3347994 0.0003049732
0.3302003 0.0002965213
0.336399 0.000296933
0.3430115 0.000297051
0.3366664 0.0002964952
0.348434 0.00030692
0.353456 0.000297557
0.3551198 0.0002977871
0.3440155 0.0003138234
0.3301945 0.000315534
0.3306965 0.0002989183
0.3229266 0.0003023535
0.3320095 0.0002935663
0.3322091 0.0003126001
0.321771 0.0003104299
0.3222405 0.0003243925
0.3214579 0.0003245722
0.3310302 0.0003361215
0.3253248 0.0003257701
0.3239631 0.0003354838
0.3269302 0.0003264513
0.319105 0.0003207384
0.3260402 0.000312419
0.3364834 0.0003171763
0.3333111 0.0003246559
0.3311015 0.0003413947
0.3250217 0.0003344605
0.3285345 0.0003264734
0.3246479 0.0003314792
0.328767 0.0003334481
0.3304132 0.0003339695
0.33484 0.0003425399
0.3390932 0.000339476
0.3309992 0.0003285519
0.338342 0.0003241744
0.3327338 0.0003376971
0.3391491 0.000327965
0.3421012 0.000324066
0.3363498 0.0003261305
0.3514226 0.0003240204
0.3501676 0.0003155578
0.3643065 0.0003037284
0.3674523 0.0003098852
0.3582097 0.000311075
0.3578124 0.0003133558
0.3600122 0.000304956
0.3612004 0.0003012859
0.3701677 0.0002996371
0.3794925 0.000305892
0.3696719 0.0003004708
0.3764907 0.0003003431
0.3811002 0.0002856639
0.3892674 0.00028838
0.3844909 0.0002921336
0.3882035 0.000282609
0.3901466 0.0002765762
0.3846577 0.0002805249
0.3770064 0.0002854086
0.3720543 0.0002894665
0.3730389 0.0002947769
0.366538 0.0002922014
0.3647079 0.0002994106
0.3617587 0.0003001852
0.3544726 0.0003017734
0.3491605 0.0002922881
0.33937 0.0002951372
0.3440932 0.0002976903
0.3459665 0.0003065687
0.341007 0.0002982513
0.3466105 0.0002925815
0.351174 0.0002880187
0.3519037 0.0002784374
0.3598149 0.0002823966
0.3624515 0.000275292
0.3591642 0.0002750243
0.3538355 0.0002763706
0.3617364 0.000286138
0.3655732 0.0002804709
0.3676238 0.0002740215
0.3676475 0.0002814831
0.3730998 0.0002809955
0.3695629 0.0002873551
0.3800084 0.0002827496
0.3583961 0.0002924575
0.3693976 0.0002784446
0.3624415 0.0002788675
0.3691639 0.0002657604
0.3810413 0.000258133
0.3881506 0.0002549313
0.3826262 0.0002551736
0.3811932 0.000255166
0.3858687 0.0002542839
0.3930642 0.0002532614
0.3984049 0.0002507097
0.4093375 0.000252
0.4165609 0.0002587404
0.4089287 0.0002470816
0.412267 0.0002495395
0.4163318 0.0002557817
0.4278833 0.000251015
0.4213574 0.0002527922
0.4197018 0.00024951
0.4230637 0.0002425687
0.4104837 0.0002591097
0.4087236 0.0002555108
0.4205181 0.0002497933
0.4217528 0.0002534566
0.4334678 0.0002483972
0.4257118 0.0002465328
0.4281463 0.0002420004
0.4189298 0.0002507588
